mon,day,hour,min,weather,tem,weekday,dor,teab,cnt
2,5,2,20,1,18,0,0,1,1
2,5,2,30,1,18,0,0,0,0
2,5,2,40,1,18,0,0,2,2
2,5,2,50,1,18,0,0,1,1
2,5,3,0,1,18,0,0,2,2
2,5,3,10,1,18,0,2,2,4
2,5,3,20,1,18,0,0,2,2
2,5,3,30,1,18,0,2,1,3
2,5,3,40,1,18,0,0,1,1
2,5,3,50,1,18,0,2,0,2
2,5,4,0,1,18,0,1,1,2
2,5,4,10,1,18,0,2,2,4
2,5,4,20,1,18,0,2,2,4
2,5,4,30,1,18,0,0,0,0
2,5,4,40,1,18,0,2,1,3
2,5,4,50,1,18,0,1,1,2
2,5,5,0,1,19,0,1,2,3
2,5,5,10,1,19,0,0,0,0
2,5,5,20,1,19,0,2,0,2
2,5,5,30,1,19,0,0,1,1
2,5,5,40,1,19,0,3,2,5
2,5,5,50,1,19,0,2,2,4
2,5,6,0,1,19,0,4,0,4
2,5,6,10,1,19,0,6,2,8
2,5,6,20,1,19,0,6,0,6
2,5,6,30,1,19,0,8,4,12
2,5,6,40,1,19,0,13,0,13
2,5,6,50,1,19,0,8,3,11
2,5,7,0,1,19,0,17,0,17
2,5,7,10,1,19,0,18,3,21
2,5,7,20,1,20,0,37,3,40
2,5,7,30,1,20,0,46,4,50
2,5,7,40,1,20,0,64,3,67
2,5,7,50,1,20,0,54,3,57
2,5,8,0,1,20,0,45,4,49
2,5,8,10,1,20,0,44,2,46
2,5,8,20,1,20,0,33,1,34
2,5,8,30,1,21,0,34,1,35
2,5,8,40,1,21,0,27,3,30
2,5,8,50,1,21,0,33,3,36
2,5,9,0,1,21,0,35,3,38
2,5,9,10,1,21,0,31,6,37
2,5,9,20,1,21,0,35,6,41
2,5,9,30,1,21,0,31,14,45
2,5,9,40,1,21,0,36,17,53
2,5,9,50,1,21,0,41,10,51
2,5,10,0,1,21,0,38,19,57
2,5,10,10,1,21,0,27,9,36
2,5,10,20,1,21,0,24,10,34
2,5,10,30,1,22,0,23,14,37
2,5,10,40,1,22,0,21,13,34
2,5,10,50,1,23,0,16,15,31
2,5,11,0,1,24,0,15,21,36
2,5,11,10,1,24,0,16,20,36
2,5,11,20,1,24,0,10,17,27
2,5,11,30,1,25,0,14,23,37
2,5,11,40,1,25,0,12,25,37
2,5,11,50,1,25,0,10,29,39
2,5,12,0,1,26,0,9,32,41
2,5,12,10,1,26,0,12,26,38
2,5,12,20,1,26,0,11,31,42
2,5,12,30,1,26,0,14,28,42
2,5,12,40,1,27,0,10,35,45
2,5,12,50,1,27,0,10,27,37
2,5,13,0,1,27,0,8,22,30
2,5,13,10,1,28,0,14,16,30
2,5,13,20,1,28,0,16,18,34
2,5,13,30,1,28,0,14,16,30
2,5,13,40,1,29,0,25,18,43
2,5,13,50,1,29,0,24,20,44
2,5,14,0,1,30,0,22,17,39
2,5,14,10,1,30,0,18,18,36
2,5,14,20,1,30,0,18,16,34
2,5,14,30,1,31,0,14,19,33
2,5,14,40,1,31,0,17,14,31
2,5,14,50,1,31,0,18,15,33
2,5,15,0,1,31,0,18,10,28
2,5,15,10,1,31,0,23,11,34
2,5,15,20,1,31,0,20,13,33
2,5,15,30,1,31,0,23,18,41
2,5,15,40,1,31,0,24,20,44
2,5,15,50,1,31,0,29,14,43
2,5,16,0,1,31,0,22,15,37
2,5,16,10,1,31,0,26,18,44
2,5,16,20,1,31,0,27,12,39
2,5,16,30,1,31,0,27,12,39
2,5,16,40,1,31,0,30,11,41
2,5,16,50,1,31,0,37,17,54
2,5,17,0,1,31,0,35,19,54
2,5,17,10,1,31,0,31,23,54
2,5,17,20,1,30,0,41,20,61
2,5,17,30,1,30,0,38,22,60
2,5,17,40,1,30,0,36,28,64
2,5,17,50,1,29,0,37,38,75
2,5,18,0,1,29,0,51,36,87
2,5,18,10,1,29,0,39,30,69
2,5,18,20,1,29,0,48,30,78
2,5,18,30,1,29,0,37,31,68
2,5,18,40,1,28,0,36,22,58
2,5,18,50,1,28,0,39,30,69
2,5,19,0,1,28,0,32,21,53
2,5,19,10,1,27,0,31,23,54
2,5,19,20,1,27,0,24,22,46
